id,class
1,2
2,9
3,3
4,4
5,9
6,5
7,8
8,5
9,2
10,5
11,5
12,9
13,9
14,6
15,7
16,9
17,7
18,4
19,3
20,1
21,0
22,9
23,7
24,3
25,5
26,0
27,3
28,8
29,5
30,1
31,4
32,8
33,1
34,2
35,4
36,1
37,6
38,9
39,4
40,3
41,1
42,3
43,1
44,8
45,5
46,6
47,6
48,3
49,2
50,1
51,0
52,7
53,6
54,3
55,3
56,5
57,7
58,0
59,7
60,7
61,0
62,8
63,8
64,2
65,1
66,2
67,1
68,6
69,1
70,9
71,4
72,4
73,7
74,4
75,9
76,7
77,4
78,9
79,6
80,0
81,6
82,0
83,1
84,9
85,2
86,0
87,3
88,2
89,1
90,2
91,5
92,4
93,9
94,2
95,2
96,6
97,1
98,8
99,7
100,0
101,6
102,2
103,5
104,3
105,7
106,4
107,1
108,7
109,8
110,8
111,8
112,4
113,8
114,4
115,9
116,8
117,1
118,0
119,1
120,9
121,5
122,5
123,4
124,4
125,4
126,5
127,4
128,6
129,8
130,5
131,4
132,6
133,5
134,1
135,6
136,8
137,9
138,9
139,7
140,1
141,3
142,9
143,1
144,3
145,4
146,0
147,8
148,5
149,9
150,6
151,6
152,0
153,8
154,6
155,3
156,8
157,9
158,7
159,8
160,3
161,9
162,5
163,5
164,9
165,4
166,7
167,3
168,3
169,2
170,8
171,1
172,6
173,5
174,7
175,7
176,2
177,0
178,0
179,0
180,8
181,1
182,3
183,7
184,3
185,3
186,0
187,1
188,9
189,5
190,0
191,9
192,0
193,1
194,0
195,8
196,2
197,7
198,9
199,2
200,9
201,9
202,1
203,3
204,1
205,1
206,3
207,1
208,6
209,8
210,9
211,4
212,0
213,6
214,8
215,5
216,9
217,7
218,3
219,0
220,2
221,5
222,3
223,3
224,8
225,7
226,5
227,0
228,2
229,6
230,5
231,2
232,7
233,5
234,8
235,6
236,4
237,3
238,3
239,4
240,5
241,0
242,3
243,2
244,9
245,8
246,1
247,8
248,7
249,7
250,1
251,2
252,8
253,6
254,5
255,0
256,9
257,3
258,5
259,8
260,9
261,6
262,1
263,8
264,0
265,6
266,9
267,0
268,9
269,5
270,5
271,8
272,0
273,1
274,5
275,1
276,3
277,8
278,7
279,5
280,1
281,8
282,5
283,8
284,5
285,8
286,9
287,5
288,9
289,3
290,9
291,6
292,8
293,3
294,8
295,7
296,4
297,4
298,3
299,4
300,0
301,2
302,3
303,0
304,2
305,3
306,0
307,9
308,8
309,2
310,6
311,5
312,6
313,3
314,4
315,8
316,5
317,2
318,7
319,8
320,3
321,5
322,6
323,8
324,3
325,1
326,8
327,4
328,8
329,7
330,8
331,4
332,9
333,8
334,4
335,0
336,7
337,1
338,4
339,3
340,1
341,3
342,9
343,8
344,8
345,7
346,1
347,2
348,5
349,3
350,0
351,2
352,3
353,0
354,2
355,8
356,4
357,7
358,4
359,6
360,4
361,8
362,4
363,0
364,9
365,7
366,0
367,3
368,4
369,4
370,4
371,6
372,8
373,2
374,6
375,6
376,9
377,9
378,8
379,6
380,8
381,4
382,8
383,0
384,4
385,5
386,2
387,8
388,7
389,6
390,8
391,7
392,4
393,5
394,5
395,8
396,9
397,9
398,3
399,7
400,5
401,1
402,3
403,3
404,2
405,2
406,5
407,0
408,4
409,4
410,5
411,2
412,5
413,0
414,5
415,6
416,3
417,9
418,4
419,3
420,5
421,5
422,4
423,4
424,7
425,7
426,0
427,1
428,9
429,4
430,5
431,1
432,0
433,2
434,3
435,6
436,2
437,5
438,6
439,5
440,1
441,2
442,7
443,3
444,0
445,9
446,8
447,0
448,8
449,2
450,5
451,3
452,4
453,5
454,6
455,5
456,1
457,2
458,2
459,2
460,9
461,8
462,6
463,6
464,3
465,5
466,6
467,0
468,9
469,1
470,0
471,4
472,0
473,4
474,3
475,8
476,4
477,6
478,5
479,8
480,6
481,1
482,8
483,3
484,7
485,6
486,9
487,8
488,1
489,5
490,1
491,8
492,3
493,8
494,8
495,0
496,3
497,7
498,3
499,3
500,8
501,1
502,0
503,2
504,1
505,5
506,3
507,5
508,3
509,4
510,0
511,5
512,5
513,6
514,0
515,2
516,2
517,4
518,9
519,4
520,3
521,7
522,1
523,6
524,4
525,0
526,2
527,0
528,6
529,3
530,7
531,1
532,9
533,1
534,9
535,9
536,7
537,1
538,5
539,4
540,3
541,0
542,7
543,8
544,6
545,8
546,3
547,4
548,6
549,5
550,6
551,5
552,9
553,3
554,1
555,0
556,7
557,5
558,6
559,3
560,0
561,7
562,9
563,3
564,3
565,2
566,6
567,7
568,6
569,4
570,0
571,6
572,0
573,6
574,4
575,2
576,1
577,8
578,5
579,9
580,6
581,4
582,8
583,2
584,5
585,9
586,3
587,1
588,4
589,3
590,2
591,2
592,4
593,2
594,4
595,0
596,2
597,0
598,3
599,9
600,7
601,0
602,2
603,2
604,6
605,7
606,0
607,9
608,8
609,0
610,0
611,3
612,7
613,3
614,1
615,5
616,1
617,9
618,2
619,3
620,0
621,8
622,9
623,1
624,9
625,8
626,8
627,9
628,8
629,1
630,9
631,0
632,3
633,3
634,8
635,3
636,5
637,0
638,7
639,1
640,7
641,9
642,2
643,6
644,4
645,2
646,0
647,2
648,0
649,0
650,7
651,9
652,1
653,9
654,7
655,6
656,5
657,8
658,3
659,8
660,4
661,6
662,3
663,6
664,4
665,8
666,9
667,7
668,6
669,8
670,5
671,3
672,9
673,4
674,1
675,0
676,8
677,6
678,7
679,9
680,4
681,7
682,5
683,1
684,3
685,6
686,1
687,3
688,0
689,6
690,5
691,3
692,4
693,9
694,5
695,2
696,4
697,9
698,0
699,7
700,5
701,3
702,6
703,4
704,6
705,7
706,2
707,6
708,5
709,5
710,0
711,9
712,4
713,0
714,8
715,6
716,1
717,4
718,0
719,6
720,7
721,5
722,4
723,2
724,4
725,1
726,8
727,9
728,8
729,4
730,6
731,6
732,9
733,2
734,3
735,1
736,4
737,7
738,7
739,9
740,0
741,5
742,6
743,2
744,5
745,2
746,5
747,0
748,8
749,3
750,8
751,2
752,2
753,0
754,8
755,8
756,7
757,7
758,0
759,7
760,2
761,9
762,7
763,3
764,1
765,1
766,7
767,0
768,6
769,9
770,1
771,2
772,8
773,7
774,8
775,5
776,1
777,9
778,6
779,9
780,1
781,0
782,8
783,2
784,7
785,9
786,3
787,8
788,2
789,2
790,0
791,5
792,0
793,9
794,1
795,1
796,0
797,3
798,8
799,4
800,8
801,2
802,5
803,5
804,7
805,7
806,4
807,3
808,7
809,9
810,4
811,1
812,8
813,1
814,9
815,2
816,3
817,8
818,0
819,0
820,5
821,8
822,2
823,1
824,2
825,0
826,6
827,3
828,0
829,5
830,9
831,5
832,3
833,9
834,8
835,4
836,8
837,8
838,6
839,4
840,9
841,9
842,5
843,8
844,7
845,2
846,9
847,3
848,0
849,2
850,7
851,0
852,4
853,6
854,9
855,2
856,0
857,5
858,7
859,1
860,0
861,4
862,6
863,5
864,0
865,2
866,2
867,2
868,4
869,3
870,6
871,2
872,1
873,8
874,6
875,8
876,1
877,3
878,5
879,0
880,8
881,8
882,5
883,7
884,5
885,2
886,9
887,7
888,9
889,2
890,0
891,3
892,2
893,2
894,8
895,4
896,5
897,6
898,5
899,5
900,4
901,6
902,6
903,5
904,5
905,2
906,9
907,6
908,4
909,9
910,3
911,3
912,5
913,5
914,4
915,2
916,0
917,0
918,2
919,5
920,0
921,7
922,5
923,5
924,7
925,0
